date,state,prediction,predicted_delta_12,lag_12,value,baseline
2019-11-01,utah,298.5679012345679,25.456790123456788,273.1111111111111,209.0,226.0
2019-11-01,vermont,77.04252400548697,5.104252400548696,71.93827160493827,70.0,66.0
2019-11-01,virginia,313.6707818930041,11.96707818930041,301.7037037037037,313.0,287.0
2019-11-01,washington,926.4897119341563,44.74897119341563,881.7407407407406,471.0,779.0
2019-11-01,west_north_central,7744.407407407408,561.7407407407408,7182.666666666667,8321.0,6042.0
2019-11-01,west_south_central,8663.294924554184,614.5294924554183,8048.765432098765,10130.0,6873.0
2019-11-01,west_virginia,166.8628257887517,9.98628257887517,156.87654320987653,145.0,135.0
2019-11-01,wisconsin,304.1495198902606,8.914951989026058,295.2345679012345,280.0,268.0
2019-11-01,wyoming,464.6460905349794,20.16460905349794,444.48148148148147,371.0,381.0
2019-12-01,alabama,297.26337448559667,6.226337448559668,291.037037037037,304.0,288.0
2019-12-01,alaska,18.95610425240055,1.7956104252400549,17.160493827160494,16.0,14.0
2019-12-01,arizona,419.9766803840878,39.29766803840877,380.679012345679,292.0,310.0
2019-12-01,arkansas,132.91906721536353,1.0919067215363516,131.82716049382717,101.0,131.0
2019-12-01,california,3867.017832647462,200.3017832647462,3666.716049382716,2885.0,3319.0
2019-12-01,colorado,1184.3772290809327,87.53772290809327,1096.8395061728395,959.0,941.0
2019-12-01,connecticut,78.50068587105625,1.5500685871056246,76.95061728395062,74.0,74.0
2019-12-01,delaware,14.4320987654321,0.54320987654321,13.88888888888889,9.0,13.0
2019-12-01,district_of_columbia,5.0,0.0,5.0,6.0,5.0
2019-12-01,east_north_central,4163.16598079561,287.1165980795611,3876.0493827160494,4051.0,3281.0
2019-12-01,east_south_central,565.2647462277092,9.326474622770926,555.9382716049383,587.0,546.0
2019-12-01,florida,482.22222222222223,7.222222222222222,475.0,642.0,457.0
2019-12-01,georgia,643.5569272976679,37.6556927297668,605.9012345679012,669.0,542.0
2019-12-01,hawaii,117.67901234567901,7.567901234567902,110.11111111111111,93.0,100.0
2019-12-01,idaho,465.6899862825789,37.36899862825789,428.320987654321,289.0,359.0
2019-12-01,illinois,1585.5349794238682,110.05349794238681,1475.4814814814813,1768.0,1247.0
2019-12-01,indiana,763.1316872427983,46.61316872427983,716.5185185185185,781.0,589.0
2019-12-01,iowa,3146.77366255144,240.477366255144,2906.296296296296,2745.0,2445.0
2019-12-01,kansas,1611.4485596707818,129.7448559670782,1481.7037037037037,1967.0,1227.0
2019-12-01,kentucky,39.991769547325106,0.3991769547325106,39.592592592592595,36.0,39.0
2019-12-01,louisiana,221.88340192043893,2.488340192043893,219.39506172839504,193.0,221.0
2019-12-01,maine,551.4224965706446,17.84224965706446,533.5802469135801,498.0,501.0
2019-12-01,maryland,161.62688614540468,11.762688614540467,149.8641975308642,102.0,130.0
2019-12-01,massachusetts,192.36351165980795,8.536351165980797,183.82716049382717,155.0,170.0
2019-12-01,michigan,1107.6378600823045,85.56378600823045,1022.074074074074,871.0,868.0
2019-12-01,middle_atlantic,1848.4883401920442,84.64883401920441,1763.8395061728397,1335.0,1552.0
2019-12-01,minnesota,1779.8737997256515,115.78737997256515,1664.0864197530864,1127.0,1448.0
2019-12-01,mississippi,128.039780521262,0.9039780521262012,127.13580246913581,145.0,125.0
2019-12-01,missouri,169.16598079561044,10.116598079561044,159.0493827160494,298.0,132.0
2019-12-01,montana,305.5514403292181,21.255144032921812,284.2962962962963,223.0,245.0
2019-12-01,mountain,4705.838134430727,341.1838134430727,4364.6543209876545,3665.0,3706.0
2019-12-01,nebraska,733.2798353909465,69.42798353909465,663.8518518518518,735.0,543.0
2019-12-01,nevada,729.2016460905351,53.720164609053505,675.4814814814815,595.0,571.0
2019-12-01,new_england,1180.899862825789,49.68998628257888,1131.20987654321,1036.0,1047.0
2019-12-01,new_hampshire,239.66941015089165,14.866941015089164,224.80246913580248,173.0,202.0
2019-12-01,new_jersey,154.79286694101512,6.879286694101511,147.9135802469136,119.0,135.0
2019-12-01,new_mexico,564.0288065843621,42.102880658436206,521.9259259259259,759.0,454.0
